name,ratings,reviews,price
DS-2CE16DOT-IRF 2.8 2MP BULLET,3.5,(99 Reviews),M436.00
PD Power 18CH PSU 12V 15A PTC,3.5,(99 Reviews),M859.00
HIKVISION 8CH PSU 12VDC SURVEI,3.5,(99 Reviews),M221.00
PD POWER 9CH 12V,3.5,(99 Reviews),M708.00
DS-2FA1208-C16 16CH HIK POWER,3.5,(99 Reviews),M290.00
PSU 12VDC 4CH SURVEILLANCE HIK,3.5,(99 Reviews),M209.00
16-ch 1U 16 PoE 4K NVR,3.5,(99 Reviews),"M4, 113.00"
4-ch Mini 1U NVR,3.5,(99 Reviews),M929.00
16-ch 1U 4K NVR,3.5,(99 Reviews),"M2, 063.00"
8-ch Mini 1U 8 PoE NVR,3.5,(99 Reviews),"M2, 071.00"
16-ch 1.5U 16 POE AcuSense 4K NVR,3.5,(99 Reviews),"M8, 220.00"
16-ch 1.5U AcuSense 4K NVR,3.5,(99 Reviews),"M4, 958.00"
8-ch 1U 8 PoE 4K NVR,3.5,(99 Reviews),"M4, 812.00"
8-ch 1U 4K NVR,3.5,(99 Reviews),"M2, 395.00"
24-ch 1080p 1U H.265 DVR,3.5,(99 Reviews),"M4, 292.00"
16-ch 1080p Lite Mini 1U H.264 DVR,3.5,(99 Reviews),"M1, 999.00"
8-ch 1080p Mini 1U Lite H.264 DVR,3.5,(99 Reviews),"M1, 333.00"
16-ch 5 MP 1U H.265 DVR,3.5,(99 Reviews),"M6, 312.00"
16-ch 720p Mini 1U H.265 DVR,3.5,(99 Reviews),"M1, 927.00"
8-ch 720p Mini 1U H.265 DVR,3.5,(99 Reviews),"M1, 016.00"
4-ch 1080p Mini 1U H.265 DVR,3.5,(99 Reviews),"M1, 260.00"
